Государственный регистрационный номер выпуска,Эмитент,Цена (в процентах от номинала) одной ценной бумаги,"Cтоимость одной ценной бумаги,  определенная в порядке,  установленном Банком России (руб.)","Поправочный коэффициент, установленный Банком России",ISIN,Дата погашения*
4-06-00307-R-002P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",1007000,21733074,09,RU000A0ZZV86,27.02.2023
4-09-00307-R-002P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",1006000,3348974,09,RU000A100DQ4,30.12.2022
4-10-00307-R-002P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",973700,34206081,09,RU000A100ZB9,27.12.2022
4-11-00307-R-002P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",926000,34972242,09,RU000A100YY4,27.01.2023
4-12-00307-R-002P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",772133,33964586404,09,RU000A1016B4,27.01.2023
4-14-00307-R-002P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",715400,356905906,09,RU000A101U95,27.02.2023
4-16-00307-R-002P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",834200,422989452,09,RU000A101X01,27.01.2023
4-17-00307-R-002P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",678667,38371153513,09,RU000A102AP8,27.02.2023
4-18-00307-R-002P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",883300,480356206,09,RU000A102D46,27.02.2023
4B02-01-00307-R-001P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",710533,43048352338,09,RU000A102GV3,27.01.2023
4B02-02-00307-R-001P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",907600,522605156,09,RU000A102JB9,27.02.2023
4B02-03-00307-R-001P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",897100,493727956,09,RU000A102GD1,27.12.2022
4B02-04-00307-R-001P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",945800,522526126,09,RU000A102K13,27.12.2022
4B02-05-00307-R-001P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",901000,55119576,09,RU000A102L87,27.12.2022
4B02-06-00307-R-001P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",759600,450359244,09,RU000A102L53,27.02.2023
4B02-07-00307-R-001P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",915500,610556105,09,RU000A103125,27.12.2022
4B02-08-00307-R-001P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",916700,625821923,09,RU000A1031K4,27.01.2023
4B02-09-00307-R-001P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",946300,736448512,09,RU000A103N43,27.02.2023
4B02-10-00307-R-001P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",749533,63069454285,09,RU000A103W42,27.01.2023
4B02-11-00307-R-001P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",895000,76147495,09,RU000A103YG5,27.01.2023
4B02-13-00307-R-001P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",993300,818846721,09,RU000A1041Q0,27.12.2022
4B02-14-00307-R-001P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",713667,56087803197,09,RU000A104511,27.02.2023
4B02-15-00307-R-001P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",928300,781619317,09,RU000A104B79,27.12.2022
4B02-17-00307-R-001P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",777967,6958914815,09,RU000A104C45,27.12.2022
4B02-18-00307-R-001P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",992100,934310175,09,RU000A104UV0,27.12.2022
4B02-19-00307-R-001P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",995000,9454092,09,RU000A104X32,27.12.2022
4B02-22-00307-R-001P,"ООО ""ДОМ.РФ ИПОТЕЧНЫЙ АГЕНТ""",990800,971766732,09,RU000A1058R2,28.12.2022
Облигации юридических лиц - резидентов Российской Федерации,Облигации юридических лиц - резидентов Российской Федерации,Облигации юридических лиц - резидентов Российской Федерации,Облигации юридических лиц - резидентов Российской Федерации,Облигации юридических лиц - резидентов Российской Федерации,Облигации юридических лиц - резидентов Российской Федерации,
4B02-03-40046-N,"АКЦИОНЕРНАЯ КОМПАНИЯ ""АЛРОСА"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО)",951200,9512,095,RU000A101PG7,08.05.2030
4B02-06-40046-N,"АКЦИОНЕРНАЯ КОМПАНИЯ ""АЛРОСА"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО)",939500,9395,095,RU000A101PB8,08.05.2030
4B02-07-40046-N,"АКЦИОНЕРНАЯ КОМПАНИЯ ""АЛРОСА"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО)",936200,9362,095,RU000A101PC6,08.05.2030
4B02-01-55319-E-001P,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АТОМНЫЙ ЭНЕРГОПРОМЫШЛЕННЫЙ КОМПЛЕКС""",954400,9544,095,RU000A103AT8,18.06.2026
4B02-01-01068-K-001P,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАШКИРСКАЯ СОДОВАЯ КОМПАНИЯ""",999900,249975,09,RU000A0ZYR18,26.01.2023
4-03-00350-D,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗАПАДНЫЙ СКОРОСТНОЙ ДИАМЕТР""",774437,774437,09,RU000A0JS4J1,28.01.2032
4-04-00350-D,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗАПАДНЫЙ СКОРОСТНОЙ ДИАМЕТР""",808490,80849,09,RU000A0JS4K9,28.01.2032
4-01-05886-A-001P,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСАГРОЛИЗИНГ""",954600,9546,09,RU000A101R09,27.05.2025
4-02-05886-A-001P,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСАГРОЛИЗИНГ""",956700,9567,09,RU000A102TA0,24.02.2026
4-03-05886-A-001P,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСАГРОЛИЗИНГ""",926100,9261,09,RU000A103QL1,15.09.2026
4-07-55477-E,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСНАНО""",1001100,"1 001,1",08,RU000A0JW1G7,15.12.2022
4-08-55477-E,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСНАНО""",881500,8815,08,RU000A1008V9,24.03.2028
4B02-01-00349-R-001P,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСКОМПЛЕКТХОЛДИНГ""",999900,9999,08,RU000A0ZYCR1,29.09.2027
4B02-03-16592-A-001P,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСКОМПЛЕКТХОЛДИНГ""",983200,9832,08,RU000A100AZ1,12.04.2029
4B02-04-35992-H-001P,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСМАШХОЛДИНГ""",967200,9672,09,RU000A1018C8,13.12.2024
4B02-05-35992-H-001P,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСМАШХОЛДИНГ""",985000,985,09,RU000A101PU8,20.05.2025
